skill_a,skill_b,co_occurrence_count,support,confidence_a_to_b,lift
Node.js,React,11856,0.1976,0.5996,1.877
Node.js,Yarn,6307,0.1051,0.319,1.875
Express,npm,7226,0.1204,0.8389,1.874
Google Cloud,Kubernetes,3796,0.0633,0.3271,1.869
npm,Vite,9021,0.1503,0.3358,1.865
Kubernetes,Maven (build tool),2728,0.0455,0.2597,1.848
npm,Yarn,8388,0.1398,0.3122,1.835
Redis,Yarn,3257,0.0543,0.3113,1.83
Redis,Express,2734,0.0456,0.2613,1.82
TypeScript,React,13386,0.2231,0.5782,1.81
Microsoft SQL Server,jQuery,4128,0.0688,0.311,1.798
MongoDB,Redis,4076,0.0679,0.3134,1.797
MongoDB,Node.js,7697,0.1283,0.5918,1.796
Docker,Kubernetes,9116,0.1519,0.312,1.783
Next.js,npm,6906,0.1151,0.7955,1.777
Redis,Homebrew,3713,0.0619,0.3549,1.763
Redis,Webpack,3063,0.051,0.2927,1.762
Pip,Make,5799,0.0966,0.3302,1.76
Redis,MariaDB,2756,0.0459,0.2634,1.758
MySQL,jQuery,6408,0.1068,0.3037,1.756
TypeScript,Node.js,13263,0.221,0.5729,1.739
Python,Pip,15616,0.2602,0.5083,1.737
Node.js,npm,15350,0.2558,0.7764,1.734
jQuery,Webpack,2966,0.0494,0.2857,1.72
Bash/Shell (all shells),Make,6572,0.1095,0.322,1.716
jQuery,NuGet,2573,0.0429,0.2479,1.709
PostgreSQL,Redis,7533,0.1255,0.295,1.692
Homebrew,Webpack,3386,0.0564,0.2803,1.687
SQLite,MariaDB,4362,0.0727,0.2512,1.677
Redis,Google Cloud,3389,0.0565,0.3239,1.675
MongoDB,React,6943,0.1157,0.5338,1.671
React,npm,14327,0.2387,0.7475,1.67
MongoDB,Yarn,3686,0.0614,0.2834,1.666
Redis,Amazon Web Services (AWS),6428,0.1071,0.6144,1.661
TypeScript,npm,17143,0.2857,0.7405,1.654
PowerShell,jQuery,2381,0.0397,0.2859,1.653
Google Cloud,Express,2753,0.0459,0.2372,1.653
Bash/Shell (all shells),PowerShell,4673,0.0779,0.2289,1.65
Amazon Web Services (AWS),Kubernetes,6384,0.1064,0.2877,1.644
PHP,Webpack,2992,0.0499,0.2732,1.644
Homebrew,Make,3714,0.0619,0.3074,1.639
Next.js,Homebrew,2865,0.0477,0.33,1.639
Redis,Next.js,2472,0.0412,0.2363,1.633
MongoDB,Webpack,3515,0.0586,0.2702,1.627
MongoDB,Vite,3801,0.0633,0.2922,1.623
Google Cloud,Next.js,2725,0.0454,0.2348,1.623
Redis,Docker,8233,0.1372,0.7869,1.616
Microsoft Azure,Kubernetes,3614,0.0602,0.2812,1.607
MongoDB,Google Cloud,4018,0.067,0.3089,1.597
jQuery,Visual Studio Solution,2289,0.0381,0.2205,1.591
Kubernetes,Gradle,2311,0.0385,0.22,1.589
MongoDB,MariaDB,3096,0.0516,0.238,1.589
Homebrew,Gradle,2634,0.0439,0.218,1.574
Google Cloud,Homebrew,3662,0.061,0.3156,1.567
PostgreSQL,Kubernetes,7002,0.1167,0.2742,1.567
Node.js,jQuery,5353,0.0892,0.2707,1.565
MariaDB,Webpack,2334,0.0389,0.2596,1.562
HTML/CSS,jQuery,8594,0.1432,0.2701,1.561
Express,jQuery,2326,0.0388,0.27,1.561
Amazon Web Services (AWS),Homebrew,6970,0.1161,0.3141,1.56
MongoDB,MySQL,7103,0.1184,0.5461,1.553
SQL,Microsoft SQL Server,10539,0.1756,0.3435,1.553
Kubernetes,Make,3055,0.0509,0.2909,1.55
Kubernetes,Yarn,2758,0.046,0.2626,1.544
Express,Homebrew,2669,0.0445,0.3098,1.539
MongoDB,Kubernetes,3500,0.0583,0.2691,1.537
MySQL,Express,4641,0.0773,0.22,1.532
Homebrew,Vite,3328,0.0555,0.2755,1.53
Redis,Vite,2879,0.048,0.2752,1.528
HTML/CSS,PHP,8820,0.147,0.2772,1.519
Google Cloud,Yarn,2992,0.0499,0.2578,1.515
Amazon Web Services (AWS),Google Cloud,6487,0.1081,0.2923,1.512
MariaDB,Express,1950,0.0325,0.2169,1.511
JavaScript,Express,8119,0.1353,0.2166,1.509
MariaDB,Yarn,2306,0.0384,0.2565,1.508
PHP,Vite,2972,0.0495,0.2714,1.507
PHP,Yarn,2796,0.0466,0.2553,1.501
Amazon Web Services (AWS),Yarn,5658,0.0943,0.255,1.499
PHP,Express,2354,0.0392,0.215,1.497
Google Cloud,Gradle,2401,0.04,0.2069,1.494
HTML/CSS,Webpack,7859,0.131,0.247,1.487
PHP,Redis,2838,0.0473,0.2592,1.486
jQuery,Yarn,2623,0.0437,0.2527,1.485
SQL,jQuery,7874,0.1312,0.2566,1.484
JavaScript,Webpack,9238,0.1539,0.2464,1.483
JavaScript,jQuery,9611,0.1602,0.2563,1.482
HTML/CSS,Vite,8476,0.1412,0.2664,1.48
TypeScript,MongoDB,7413,0.1235,0.3202,1.477
PostgreSQL,Next.js,5440,0.0907,0.213,1.473
Docker,Homebrew,8659,0.1443,0.2963,1.472
Yarn,Gradle,2079,0.0346,0.2036,1.471
Redis,Make,2888,0.0481,0.276,1.471
PHP,SQL,8230,0.1371,0.7515,1.47
C#,jQuery,4148,0.0691,0.2542,1.469
MariaDB,Maven (build tool),1855,0.0309,0.2063,1.468
HTML/CSS,Express,6691,0.1115,0.2103,1.465
Bash/Shell (all shells),C,6066,0.1011,0.2972,1.464
Redis,React,4893,0.0815,0.4676,1.464
MySQL,Redis,5381,0.0897,0.255,1.463
JavaScript,Vite,9868,0.1644,0.2632,1.462
MongoDB,npm,8504,0.1417,0.6538,1.46
C,Pip,5207,0.0868,0.4274,1.46
PHP,SQLite,4625,0.0771,0.4223,1.459
JavaScript,Next.js,7914,0.1319,0.2111,1.459
HTML/CSS,Next.js,6688,0.1114,0.2102,1.453
JavaScript,Node.js,17932,0.2988,0.4783,1.452
Java,C,5377,0.0896,0.2948,1.452
SQLite,jQuery,4360,0.0727,0.2511,1.451
React,Homebrew,5592,0.0932,0.2918,1.449
MongoDB,jQuery,3259,0.0543,0.2506,1.448
Redis,Node.js,4980,0.083,0.476,1.445
Amazon Web Services (AWS),Next.js,4636,0.0773,0.2089,1.444
PostgreSQL,Yarn,6274,0.1046,0.2457,1.444
MariaDB,Vite,2336,0.0389,0.2598,1.443
PowerShell,SQL,6142,0.1024,0.7375,1.442
PostgreSQL,Express,5284,0.0881,0.2069,1.442
Amazon Web Services (AWS),Express,4591,0.0765,0.2069,1.441
TypeScript,Redis,5813,0.0969,0.2511,1.44
C++,Visual Studio Solution,2750,0.0458,0.1989,1.435
SQL,MariaDB,6584,0.1097,0.2146,1.432
Microsoft Azure,jQuery,3179,0.053,0.2474,1.43
MariaDB,Gradle,1780,0.0297,0.198,1.43
C,SQLite,5043,0.084,0.4139,1.43
MariaDB,Make,2410,0.0402,0.268,1.429
PHP,Node.js,5153,0.0859,0.4706,1.428
MySQL,SQLite,8705,0.1451,0.4126,1.426
SQLite,Redis,4319,0.072,0.2487,1.426
Homebrew,npm,7707,0.1284,0.6379,1.425
Bash/Shell (all shells),Pip,8512,0.1418,0.417,1.425
MongoDB,Gradle,2564,0.0427,0.1971,1.423
Bash/Shell (all shells),Kubernetes,5075,0.0846,0.2486,1.421
MariaDB,Node.js,4210,0.0702,0.4682,1.421
MongoDB,Maven (build tool),2597,0.0433,0.1997,1.42
JavaScript,React,16995,0.2832,0.4533,1.419
Homebrew,Pip,5010,0.0835,0.4147,1.417
Google Cloud,Node.js,5415,0.0902,0.4666,1.416
Docker,Yarn,7037,0.1173,0.2408,1.416
PostgreSQL,Amazon Web Services (AWS),13360,0.2226,0.5232,1.415
SQLite,Pip,7189,0.1198,0.414,1.415
MongoDB,Amazon Web Services (AWS),6795,0.1132,0.5224,1.413
Redis,npm,6620,0.1103,0.6327,1.413
HTML/CSS,Node.js,14795,0.2465,0.465,1.411
JavaScript,Yarn,8999,0.15,0.24,1.411
Kubernetes,Webpack,2463,0.041,0.2345,1.411
PostgreSQL,Homebrew,7254,0.1209,0.2841,1.411
C++,Pip,5706,0.0951,0.4127,1.41
HTML/CSS,JavaScript,28029,0.4671,0.881,1.41
JavaScript,PHP,9647,0.1608,0.2573,1.41
Amazon Web Services (AWS),Webpack,5195,0.0866,0.2341,1.409
SQLite,Make,4587,0.0764,0.2642,1.408
Python,C,8769,0.1461,0.2855,1.406
Redis,jQuery,2536,0.0423,0.2424,1.401
PHP,MongoDB,3318,0.0553,0.303,1.398
Google Cloud,Webpack,2694,0.0449,0.2321,1.397
jQuery,npm,6486,0.1081,0.6248,1.396
PHP,Next.js,2212,0.0369,0.202,1.396
JavaScript,TypeScript,20191,0.3365,0.5385,1.396
PHP,PowerShell,2120,0.0353,0.1936,1.395
PowerShell,MariaDB,1741,0.029,0.2091,1.395
SQL,NuGet,6198,0.1033,0.202,1.393
Make,Gradle,2169,0.0361,0.1926,1.391
Python,Make,8001,0.1333,0.2605,1.388
PostgreSQL,Docker,17240,0.2873,0.6751,1.387
Docker,Webpack,6730,0.1121,0.2303,1.386
PostgreSQL,Google Cloud,6842,0.114,0.2679,1.385
JavaScript,npm,23225,0.387,0.6195,1.384
Google Cloud,Microsoft Azure,3435,0.0572,0.296,1.382
MariaDB,Google Cloud,2393,0.0399,0.2662,1.376
Express,Gradle,1639,0.0273,0.1903,1.374
PostgreSQL,Maven (build tool),4933,0.0822,0.1932,1.374
HTML/CSS,React,13946,0.2324,0.4383,1.372
Python,C++,9712,0.1618,0.3162,1.372
Docker,Maven (build tool),5632,0.0939,0.1928,1.371
HTML/CSS,Yarn,7419,0.1236,0.2332,1.371
npm,NuGet,5339,0.089,0.1987,1.37
HTML/CSS,TypeScript,16817,0.2802,0.5286,1.37
MySQL,Node.js,9510,0.1585,0.4507,1.368
PowerShell,SQLite,3294,0.0549,0.3955,1.367
MySQL,Google Cloud,5573,0.0929,0.2641,1.366
MySQL,Maven (build tool),4049,0.0675,0.1919,1.365
MySQL,Next.js,4163,0.0694,0.1973,1.364
SQLite,Express,3397,0.0566,0.1956,1.363
PHP,npm,6677,0.1113,0.6097,1.362
Make,Maven (build tool),2155,0.0359,0.1914,1.362
Redis,Maven (build tool),2003,0.0334,0.1914,1.362
SQLite,Gradle,3275,0.0546,0.1886,1.362
Node.js,Homebrew,5412,0.0902,0.2737,1.36
Bash/Shell (all shells),Homebrew,5589,0.0931,0.2738,1.36
Bash/Shell (all shells),MariaDB,4160,0.0693,0.2038,1.36
PostgreSQL,Vite,6252,0.1042,0.2448,1.36
SQL,MySQL,14663,0.2443,0.4779,1.359
Express,Kubernetes,2047,0.0341,0.2376,1.358
Docker,Make,7438,0.1239,0.2546,1.357
Amazon Web Services (AWS),Docker,14661,0.2443,0.6607,1.357
Java,C++,5699,0.095,0.3125,1.356
Google Cloud,React,5027,0.0838,0.4332,1.356
Amazon Web Services (AWS),React,9608,0.1601,0.433,1.356
Redis,Pip,4150,0.0692,0.3966,1.355
Express,Docker,5667,0.0944,0.6579,1.351
MongoDB,PostgreSQL,7470,0.1245,0.5743,1.35
HTML/CSS,npm,19218,0.3203,0.604,1.349
Bash/Shell (all shells),Redis,4802,0.08,0.2353,1.349
MySQL,Yarn,4839,0.0806,0.2293,1.348
Java,MongoDB,5325,0.0887,0.292,1.347
Java,Kubernetes,4297,0.0716,0.2356,1.346
TypeScript,Homebrew,6254,0.1042,0.2702,1.342
Kubernetes,Pip,4121,0.0687,0.3924,1.341
MariaDB,Next.js,1743,0.029,0.1939,1.34
HTML/CSS,MariaDB,6375,0.1062,0.2004,1.337
Google Cloud,Pip,4541,0.0757,0.3913,1.337
SQL,Redis,7146,0.1191,0.2329,1.336
MySQL,Webpack,4683,0.078,0.222,1.336
HTML/CSS,PowerShell,5890,0.0982,0.1851,1.334
MongoDB,SQLite,5014,0.0836,0.3855,1.332
Homebrew,Maven (build tool),2262,0.0377,0.1872,1.332
MariaDB,npm,5360,0.0893,0.5962,1.332
Java,MySQL,8536,0.1422,0.468,1.331
Next.js,Kubernetes,2017,0.0336,0.2323,1.328
PowerShell,Node.js,3641,0.0607,0.4372,1.327
MariaDB,Docker,5799,0.0966,0.645,1.325
PostgreSQL,React,10796,0.1799,0.4228,1.324
PHP,Google Cloud,2803,0.0467,0.256,1.324
PostgreSQL,Webpack,5611,0.0935,0.2197,1.323
Google Cloud,jQuery,2656,0.0443,0.2289,1.323
C++,SQLite,5291,0.0882,0.3827,1.322
Docker,Vite,6952,0.1158,0.2379,1.322
MariaDB,Kubernetes,2078,0.0346,0.2311,1.321
Next.js,Docker,5582,0.093,0.643,1.321
SQLite,Google Cloud,4427,0.0738,0.2549,1.318
Webpack,Gradle,1818,0.0303,0.1823,1.317
C++,PowerShell,2528,0.0421,0.1828,1.317
MongoDB,Docker,8339,0.139,0.6411,1.317
PostgreSQL,SQLite,9698,0.1616,0.3798,1.312
Amazon Web Services (AWS),Maven (build tool),4091,0.0682,0.1844,1.312
C,MariaDB,2394,0.0399,0.1965,1.311
React,jQuery,4347,0.0724,0.2268,1.311
Amazon Web Services (AWS),Node.js,9581,0.1597,0.4318,1.31
Pip,Gradle,3186,0.0531,0.1814,1.31
npm,Gradle,4872,0.0812,0.1813,1.31
Bash/Shell (all shells),Python,13692,0.2282,0.6708,1.31
SQLite,Vite,4089,0.0681,0.2355,1.308
Docker,Pip,11185,0.1864,0.3828,1.308
React,Kubernetes,4382,0.073,0.2286,1.306
npm,Maven (build tool),4929,0.0821,0.1835,1.305
Google Cloud,Docker,7369,0.1228,0.635,1.304
C,PowerShell,2203,0.0367,0.1808,1.303
TypeScript,NuGet,4373,0.0729,0.1889,1.302
PowerShell,Webpack,1800,0.03,0.2161,1.301
Java,MariaDB,3555,0.0592,0.1949,1.301
C#,C++,4889,0.0815,0.2996,1.3
SQL,Microsoft Azure,8535,0.1422,0.2782,1.299
Bash/Shell (all shells),Docker,12896,0.2149,0.6318,1.298
Google Cloud,Make,2824,0.0471,0.2433,1.297
TypeScript,PostgreSQL,12770,0.2128,0.5516,1.296
Redis,Gradle,1875,0.0312,0.1792,1.294
Node.js,Gradle,3541,0.059,0.1791,1.293
SQL,SQLite,11484,0.1914,0.3743,1.293
Webpack,NuGet,1868,0.0311,0.1874,1.292
Google Cloud,Maven (build tool),2106,0.0351,0.1815,1.291
JavaScript,MongoDB,10490,0.1748,0.2798,1.291
Docker,Gradle,5222,0.087,0.1787,1.291
jQuery,Maven (build tool),1883,0.0314,0.1814,1.29
TypeScript,PowerShell,4140,0.069,0.1788,1.289
Next.js,jQuery,1936,0.0323,0.223,1.289
MySQL,Gradle,3762,0.0627,0.1783,1.288
Docker,npm,16852,0.2808,0.5767,1.288
MySQL,Vite,4886,0.0814,0.2316,1.286
TypeScript,Kubernetes,5206,0.0868,0.2249,1.285
Redis,Microsoft Azure,2879,0.048,0.2752,1.285
Express,Pip,3236,0.0539,0.3757,1.284
C#,SQL,10707,0.1784,0.6561,1.283
JavaScript,MariaDB,7180,0.1196,0.1915,1.278
MongoDB,Microsoft Azure,3559,0.0593,0.2736,1.278
MongoDB,Homebrew,3343,0.0557,0.257,1.277
SQLite,NuGet,3211,0.0535,0.1849,1.275
MariaDB,Pip,3351,0.0558,0.3727,1.274
MongoDB,Pip,4848,0.0808,0.3727,1.274
PowerShell,Kubernetes,1854,0.0309,0.2226,1.272
npm,Pip,9998,0.1666,0.3721,1.272
Bash/Shell (all shells),C++,5978,0.0996,0.2929,1.271
Microsoft Azure,Webpack,2714,0.0452,0.2112,1.271
Pip,Maven (build tool),3137,0.0523,0.1786,1.271
MySQL,Amazon Web Services (AWS),9898,0.1649,0.4691,1.269
MySQL,npm,11977,0.1996,0.5677,1.268
PostgreSQL,Node.js,10669,0.1778,0.4178,1.268
Google Cloud,Vite,2647,0.0441,0.2281,1.267
PostgreSQL,Gradle,4479,0.0746,0.1754,1.267
TypeScript,Docker,14261,0.2376,0.616,1.265
Kubernetes,npm,5950,0.0992,0.5665,1.265
TypeScript,Amazon Web Services (AWS),10823,0.1804,0.4675,1.264
HTML/CSS,MySQL,14128,0.2354,0.4441,1.263
SQLite,Node.js,7222,0.1203,0.4159,1.262
SQL,Visual Studio Solution,5359,0.0893,0.1747,1.261
React,Docker,11755,0.1959,0.6133,1.26
SQLite,Next.js,3165,0.0527,0.1823,1.26
SQL,PostgreSQL,16453,0.2742,0.5362,1.26
React,Gradle,3343,0.0557,0.1744,1.259
MariaDB,Homebrew,2279,0.038,0.2535,1.259
Next.js,Gradle,1511,0.0252,0.1741,1.257
SQLite,Yarn,3714,0.0619,0.2139,1.257
Amazon Web Services (AWS),Gradle,3863,0.0644,0.1741,1.257
Make,Yarn,2404,0.0401,0.2135,1.255
PowerShell,Pip,3055,0.0509,0.3668,1.254
MySQL,React,8449,0.1408,0.4004,1.254
Node.js,Kubernetes,4340,0.0723,0.2195,1.254
PostgreSQL,MariaDB,4795,0.0799,0.1878,1.253
SQL,Maven (build tool),5401,0.09,0.176,1.252
PowerShell,MongoDB,2260,0.0377,0.2714,1.252
SQLite,Microsoft SQL Server,4807,0.0801,0.2768,1.251
Node.js,Docker,12039,0.2006,0.6089,1.251
C,Gradle,2111,0.0352,0.1733,1.251
Pip,Yarn,3738,0.0623,0.2129,1.251
HTML/CSS,MongoDB,8630,0.1438,0.2712,1.251
PowerShell,npm,4653,0.0775,0.5587,1.248
Bash/Shell (all shells),SQLite,7355,0.1226,0.3603,1.245
Google Cloud,npm,6465,0.1077,0.5571,1.244
Python,SQLite,11046,0.1841,0.3596,1.243
PHP,React,4344,0.0724,0.3967,1.242
C,PHP,2761,0.046,0.2266,1.242
Amazon Web Services (AWS),npm,12334,0.2055,0.5558,1.241
TypeScript,Microsoft Azure,6151,0.1025,0.2657,1.241
PostgreSQL,Pip,9276,0.1546,0.3633,1.241
HTML/CSS,SQL,20146,0.3357,0.6332,1.238
Bash/Shell (all shells),Maven (build tool),3548,0.0591,0.1738,1.237
TypeScript,Google Cloud,5532,0.0922,0.239,1.236
Java,Google Cloud,4351,0.0725,0.2386,1.234
TypeScript,Gradle,3955,0.0659,0.1708,1.234
JavaScript,MySQL,16264,0.271,0.4338,1.234
PostgreSQL,npm,14088,0.2348,0.5517,1.232
SQLite,Homebrew,4296,0.0716,0.2474,1.229
Microsoft Azure,Docker,7682,0.128,0.5978,1.228
jQuery,Vite,2287,0.0381,0.2203,1.224
Java,jQuery,3859,0.0643,0.2116,1.223
JavaScript,PowerShell,6351,0.1058,0.1694,1.221
MariaDB,Amazon Web Services (AWS),4053,0.0675,0.4508,1.219
PostgreSQL,Make,5831,0.0972,0.2283,1.217
Amazon Web Services (AWS),Vite,4862,0.081,0.2191,1.217
SQLite,Webpack,3509,0.0585,0.2021,1.216
JavaScript,Redis,7942,0.1323,0.2118,1.215
Yarn,Maven (build tool),1744,0.0291,0.1708,1.215
HTML/CSS,NuGet,5589,0.0931,0.1757,1.211
PowerShell,Express,1448,0.0241,0.1739,1.211
SQL,Express,5328,0.0888,0.1737,1.21
jQuery,Gradle,1740,0.029,0.1676,1.21
Bash/Shell (all shells),Gradle,3413,0.0569,0.1672,1.207
SQL,Kubernetes,6482,0.108,0.2113,1.207
C++,Gradle,2307,0.0384,0.1668,1.205
Node.js,Pip,6970,0.1161,0.3525,1.205
Microsoft Azure,npm,6906,0.1151,0.5374,1.2
PowerShell,MySQL,3511,0.0585,0.4216,1.199
Microsoft SQL Server,MariaDB,2384,0.0397,0.1796,1.199
C#,SQLite,5650,0.0942,0.3462,1.197
Bash/Shell (all shells),Amazon Web Services (AWS),9025,0.1504,0.4421,1.196
Python,Google Cloud,7102,0.1183,0.2312,1.195
PowerShell,Maven (build tool),1399,0.0233,0.168,1.195
Node.js,Maven (build tool),3318,0.0553,0.1678,1.194
Bash/Shell (all shells),Google Cloud,4710,0.0785,0.2307,1.193
Amazon Web Services (AWS),jQuery,4574,0.0762,0.2061,1.192
Java,PostgreSQL,9254,0.1542,0.5074,1.192
Bash/Shell (all shells),PostgreSQL,10346,0.1724,0.5069,1.191
Amazon Web Services (AWS),Pip,7724,0.1287,0.3481,1.189
MySQL,Microsoft SQL Server,5545,0.0924,0.2628,1.188
TypeScript,MariaDB,4120,0.0687,0.178,1.188
Java,SQL,11079,0.1846,0.6074,1.188
Amazon Web Services (AWS),Microsoft Azure,5634,0.0939,0.2539,1.186
HTML/CSS,SQLite,10908,0.1818,0.3428,1.185
HTML/CSS,Microsoft SQL Server,8337,0.1389,0.262,1.185
Vite,Pip,3745,0.0624,0.3466,1.184
SQLite,Docker,10007,0.1668,0.5763,1.184
MariaDB,React,3397,0.0566,0.3778,1.183
SQLite,npm,9181,0.153,0.5287,1.181
Java,Node.js,7099,0.1183,0.3892,1.181
Python,PowerShell,5035,0.0839,0.1639,1.181
Vite,Gradle,1767,0.0294,0.1636,1.181
Java,PHP,3930,0.0655,0.2155,1.181
Kubernetes,NuGet,1799,0.03,0.1713,1.181
SQL,Node.js,11936,0.1989,0.389,1.181
SQLite,Microsoft Azure,4387,0.0731,0.2526,1.18
Amazon Web Services (AWS),Make,4911,0.0818,0.2213,1.18
SQL,Webpack,6010,0.1002,0.1959,1.179
MySQL,Homebrew,5010,0.0835,0.2375,1.179
JavaScript,SQL,22576,0.3762,0.6022,1.178
SQL,Google Cloud,6986,0.1164,0.2277,1.177
Java,PowerShell,2979,0.0496,0.1633,1.177
Next.js,Pip,2989,0.0498,0.3443,1.177
C,Visual Studio Solution,1985,0.0331,0.1629,1.176
Java,Express,3077,0.0513,0.1687,1.175
TypeScript,jQuery,4703,0.0784,0.2032,1.174
PowerShell,Redis,1704,0.0284,0.2046,1.174
TypeScript,PHP,4956,0.0826,0.2141,1.173
Express,Maven (build tool),1419,0.0236,0.1647,1.172
PowerShell,Google Cloud,1888,0.0315,0.2267,1.172
SQL,Yarn,6115,0.1019,0.1993,1.172
Bash/Shell (all shells),Yarn,4066,0.0678,0.1992,1.171
Bash/Shell (all shells),SQL,12225,0.2037,0.5989,1.171
Microsoft Azure,Node.js,4952,0.0825,0.3854,1.17
Webpack,Maven (build tool),1639,0.0273,0.1644,1.17
PowerShell,Docker,4745,0.0791,0.5698,1.17
PHP,Amazon Web Services (AWS),4735,0.0789,0.4324,1.169
SQL,npm,16038,0.2673,0.5227,1.168
MySQL,Kubernetes,4311,0.0718,0.2043,1.167
C++,MariaDB,2418,0.0403,0.1749,1.167
PostgreSQL,MySQL,10482,0.1747,0.4105,1.167
TypeScript,C#,7342,0.1223,0.3171,1.166
HTML/CSS,C#,10085,0.1681,0.317,1.166
MySQL,Pip,7178,0.1196,0.3402,1.163
PHP,Homebrew,2563,0.0427,0.234,1.163
Bash/Shell (all shells),Node.js,7815,0.1302,0.3829,1.162
Bash/Shell (all shells),Java,7212,0.1202,0.3533,1.162
MySQL,Docker,11920,0.1986,0.565,1.16
SQLite,React,6429,0.1071,0.3702,1.159
SQL,MongoDB,7708,0.1284,0.2512,1.159
PowerShell,Yarn,1640,0.0273,0.1969,1.158
Java,SQLite,6107,0.1018,0.3348,1.157
TypeScript,SQL,13677,0.2279,0.5908,1.156
React,Maven (build tool),3115,0.0519,0.1625,1.156
C#,C,3828,0.0638,0.2346,1.155
HTML/CSS,Redis,6402,0.1067,0.2012,1.154
Bash/Shell (all shells),Webpack,3913,0.0652,0.1917,1.154
TypeScript,SQLite,7726,0.1287,0.3337,1.153
Bash/Shell (all shells),Express,3374,0.0562,0.1653,1.152
JavaScript,NuGet,6263,0.1044,0.167,1.152
PHP,Microsoft SQL Server,2789,0.0465,0.2547,1.151
TypeScript,Maven (build tool),3744,0.0624,0.1617,1.151
Java,Pip,6138,0.1023,0.3365,1.15
SQL,Docker,17180,0.2863,0.5599,1.15
SQL,Amazon Web Services (AWS),13042,0.2173,0.4251,1.149
Microsoft Azure,Maven (build tool),2074,0.0346,0.1614,1.148
C++,PHP,2896,0.0483,0.2094,1.148
Python,Kubernetes,6168,0.1028,0.2008,1.147
Express,Make,1851,0.0308,0.2149,1.145
C,MySQL,4906,0.0818,0.4027,1.145
C,MongoDB,3020,0.0503,0.2479,1.144
Redis,NuGet,1736,0.0289,0.1659,1.144
SQLite,Visual Studio Solution,2751,0.0458,0.1584,1.143
MongoDB,Microsoft SQL Server,3285,0.0547,0.2526,1.142
Microsoft Azure,Yarn,2494,0.0416,0.1941,1.141
JavaScript,Homebrew,8586,0.1431,0.229,1.138
JavaScript,Google Cloud,8249,0.1375,0.22,1.138
JavaScript,SQLite,12333,0.2055,0.329,1.137
SQL,Pip,10207,0.1701,0.3327,1.137
TypeScript,MySQL,9240,0.154,0.3991,1.135
PHP,Gradle,1721,0.0287,0.1572,1.135
